_id,created_date,general_name,name,level,__v
5fb6a60c147321193885bb5e,2020-11-19T17:06:20.670Z,Mesirak Harerge,Adadele,level_2,0
5fb6a60c147321193885bb5f,2020-11-19T17:06:20.671Z,Mesirak Harerge,Degehamedu,level_2,0
5fb6a60c147321193885bb60,2020-11-19T17:06:20.671Z,Mesirak Harerge,Harshin,level_3,0
5fb6a60c147321193885bb61,2020-11-19T17:06:20.671Z,Mesirak Harerge,Teferi Ber,level_3,0
5fb6a60c147321193885bb62,2020-11-19T17:06:20.671Z,Mesirak Harerge,Togu Wechale,level_3,0
5fbfc3f2d845c220f8c0b7bd,2020-11-26T15:04:18.662Z,Bale,Guldima,level_2,0
5fbfc3f2d845c220f8c0b7be,2020-11-26T15:04:18.664Z,Bale,Hargodeb,level_2,0
5fbfc3f2d845c220f8c0b7bf,2020-11-26T15:04:18.665Z,Bale,Harabure,level_2,0
5fbfc3f2d845c220f8c0b7c0,2020-11-26T15:04:18.666Z,Bale,Hidebo,level_2,0
5fbfc3f2d845c220f8c0b7c1,2020-11-26T15:04:18.666Z,Bale,Ramo,level_2,0
5fbfc3f2d845c220f8c0b7c2,2020-11-26T15:04:18.667Z,Bale,Manchaf,level_2,0
5fbfc3f2d845c220f8c0b7c3,2020-11-26T15:04:18.667Z,Bale,Maeo,level_2,0
5fbfc3f2d845c220f8c0b7c4,2020-11-26T15:04:18.667Z,Bale,Hajiaftu,level_2,0
5fbfc3f2d845c220f8c0b7c5,2020-11-26T15:04:18.668Z,Bale,Burkadra,level_2,0
5fbfc3f2d845c220f8c0b7c6,2020-11-26T15:04:18.668Z,Bale,Harakololo,level_2,0
5fbfc3f2d845c220f8c0b7c7,2020-11-26T15:04:18.668Z,Bale,Wedechalem,level_2,0
5fbfc801d845c220f8c0b7c8,2020-11-26T15:21:37.815Z,Borena,Dolo Ado,level_1,0
5fbfc801d845c220f8c0b7c9,2020-11-26T15:21:37.816Z,Borena,Leflef,level_1,0
5fbfc801d845c220f8c0b7ca,2020-11-26T15:21:37.816Z,Borena,Melkasuftu,level_2,0
5fbfc801d845c220f8c0b7cb,2020-11-26T15:21:37.816Z,Borena,Sede,level_2,0
